"","ServiceCode","ServiceURL","FullSiteCode","FullVariableCode","BeginDateTime","EndDateTime","SiteName","Latitude","Longitude","DataType","ValueType","SampleMedium","TimeUnits","TimeSupport"
"437","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:470","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"Premilov",49.8042449951172,15.695161819458,"Average","Field Observation","Water","hour",1
"438","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:471","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"VD Hamry",49.7383346557617,15.9144439697266,"Average","Field Observation","Water","hour",1
"439","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:472","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Litomyšl",49.873462677002,16.3074741363525,"Average","Field Observation","Water","hour",1
"440","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:473","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"LG Brod",50.3878707885742,15.9091281890869,"Average","Field Observation","Water","hour",1
"441","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:474","CHMI-H:PRUTOK",2006-08-08,2014-12-28,"VD Les Království",50.4550018310547,15.7736110687256,"Average","Field Observation","Water","hour",1
"442","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:475","CHMI-H:PRUTOK",2006-08-08,2015-08-10,"Horní Lánov",50.6363906860352,15.6611099243164,"Average","Field Observation","Water","hour",1
"443","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:476","CHMI-H:PRUTOK",2006-08-06,2014-12-28,"VD Labská",50.7111129760742,15.5866670608521,"Average","Field Observation","Water","hour",1
"444","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:477","CHMI-H:PRUTOK",2006-08-06,2015-08-10,"Špindleruv Mlýn",50.7238883972168,15.6033334732056,"Average","Field Observation","Water","hour",1
"445","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:478","CHMI-H:PRUTOK",2006-08-06,2014-12-28,"Hronov",50.4836120605469,16.1827774047852,"Average","Field Observation","Water","hour",1
"446","HYDRODATACZ-HR","http://hydrodata.info/chmi-h/cuahsi_1_1.asmx?wsdl","CHMI-H:479","CHMI-H:PRUTOK",2006-08-05,2015-08-10,"Rychnov nad Knežnou",50.1725006103516,16.2683334350586,"Average","Field Observation","Water","hour",1
