"","SiteName","SiteCode","FullSiteCode","Latitude","Longitude","ServCode","ServURL"
"96","Záton","1087","CHMI-D:1087",48.727222442627,14.3383331298828,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"97","Korce","1088","CHMI-D:1088",49.4035110473633,15.3102970123291,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"98","Samšín","1089","CHMI-D:1089",49.4861946105957,15.0668802261353,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"99","Cermná nad Orlicí","109","CHMI-D:109",50.0783348083496,16.1372222900391,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"100","Ústí (Želivka)","1090","CHMI-D:1090",49.4697494506836,15.4140663146973,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"101","Strašice","1091","CHMI-D:1091",49.7179107666016,13.7679481506348,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"102","Lesná","1092","CHMI-D:1092",49.7536392211914,12.5348529815674,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"103","Branka u Opavy","1093","CHMI-D:1093",49.8944435119629,17.8919448852539,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"104","Bravantice","1094","CHMI-D:1094",49.7576370239258,18.08229637146,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"105","Bartošovice","1095","CHMI-D:1095",49.6880226135254,18.0406684875488,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"106","Dehylov","1097","CHMI-D:1097",49.8794441223145,18.179443359375,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"107","Istebná","1098","CHMI-D:1098",49.5715408325195,18.8914890289307,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"108","Branice","1099","CHMI-D:1099",50.0515022277832,17.7816772460938,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"109","Rychnov nad Knežnou","11","CHMI-D:11",50.1725006103516,16.2683334350586,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"110","Opava","110","CHMI-D:110",49.9305572509766,17.8783321380615,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"111","Kozlovice","1100","CHMI-D:1100",49.5909614562988,18.2576656341553,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"112","Tichá","1101","CHMI-D:1101",49.5712738037109,18.2217960357666,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"113","Vlcovice","1102","CHMI-D:1102",49.5912895202637,18.192943572998,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"114","Velký Javorník","1103","CHMI-D:1103",49.5272102355957,18.1608028411865,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"115","Vernovice","1104","CHMI-D:1104",49.9311103820801,18.4211101531982,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"116","Kotar","1105","CHMI-D:1105",49.6209831237793,18.5325450897217,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"117","Babí Hora","1106","CHMI-D:1106",49.7474365234375,18.5317344665527,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"118","Slavíc - chata","1107","CHMI-D:1107",49.5541534423828,18.6182765960693,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
"119","Celadná","1108","CHMI-D:1108",49.5483512878418,18.3420829772949,"HYDRODATACZ-D","http://hydrodata.info/chmi-d/cuahsi_1_1.asmx?wsdl"
